Inner Track (x),Inner Track (y),Outer Track (x),Outer Track (y),Mid Track (x),Mid track (y)
11.96,-44.4179963528298,13,-48.2804308182932,12.48,-46.3492135855615
11.6332087673206,-44.504701479461,12.644792138392,-48.3746755211532,12.1390004528563,-46.4396885003071
11.3057890868845,-44.5890023786458,12.2889011813962,-48.4663069333107,11.7973451341404,-46.5276546559783
10.977758646517,-44.6708944962917,11.9323463549098,-48.5553201046649,11.4550525007134,-46.6131073004783
10.6491351670376,-44.7503734084327,11.5751469206931,-48.6417102265573,11.1121410438653,-46.696041817495
10.3199364013032,-44.8274348214691,11.2173221753295,-48.7254726320316,10.7686292883164,-46.7764537267503
9.99018013324839,-44.9020745723986,10.858891449183,-48.8066027960855,10.4245357912157,-46.8543386842421
9.65988417692537,-44.9742886290421,10.4998741053537,-48.8850963359153,10.0798791411395,-46.9296924824787
9.32906637554118,-45.0440730902607,10.1402895386317,-48.9609490111529,9.73467795708645,-47.0025110507068
8.9977446004939,-45.1114241861669,9.78015717444989,-49.0341567240944,9.3889508874719,-47.0727904551307
8.66593675040726,-45.1763382783282,9.41949646783398,-49.1047155199219,9.04271660912062,-47.1405268991251
8.33366075016365,-45.2388118599636,9.05832690235179,-49.1726215869169,8.69599382625772,-47.2057167234403
8.00093454993582,-45.298841556133,8.69666798906067,-49.2378712566663,8.34880126949825,-47.2683564063997
7.66777612421716,-45.3564241239197,8.33453926545343,-49.3004610042605,8.0011576948353,-47.3284425640901
7.33420347085069,-45.4115564526053,7.97196029440293,-49.3603874484841,7.65308188262681,-47.3859719505447
7.0002346100568,-45.4642355638381,7.60895066310522,-49.417647351998,7.30459263658101,-47.440941457918
6.66588758345973,-45.5144586117937,7.24552998202145,-49.4722376215148,6.95570878274059,-47.4933481166542
6.33118045311296,-45.5622228833287,6.88171788381843,-49.524155307966,6.6064491684657,-47.5431890956473
5.99613130052343,-45.6075257981277,6.51753402230808,-49.5733976066605,6.25683266141576,-47.5904617023941
5.66075822567481,-45.6503649088422,6.15299807138566,-49.6199618574372,5.90687814853023,-47.6351633831397
5.32507934604956,-45.6907379012232,5.78812972396692,-49.6638455448078,5.55660453500824,-47.6772917230155
4.98911279565043,-45.7286425942459,5.42294869092438,-49.7050462980933,5.2060307432874,-47.7168444461696
4.65287672402054,-45.7640769402276,5.05747470002233,-49.7435618915517,4.85517571202144,-47.7538194158896
4.31638929526316,-45.7970390249385,4.69172749485126,-49.7793902444983,4.50405839505721,-47.7882146347184
3.97966868706029,-45.827527067705,4.32572683376118,-49.8125294214184,4.15269776041074,-47.8200282445617
3.64273308969073,-45.8555394215058,3.95949248879427,-49.8429776320715,3.8011127892425,-47.8492585267887
3.3056007050474,-45.8810745730611,3.59304424461674,-49.8707332315881,3.44932247483207,-47.8759039023246
2.96828974565405,-45.904131142914,3.22640189745006,-49.8957947205587,3.09734582155206,-47.8999629317363
2.63081843368136,-45.9247078855054,2.85958525400148,-49.9181607451146,2.74520184384142,-47.92143431531
2.29320499996255,-45.9428036892411,2.49261413039408,-49.9378300970012,2.39290956517832,-47.9403168931212
1.95546768300854,-45.9584175765518,2.12550835109624,-49.9548017136433,2.04048801705239,-47.9566096450976
1.61762472802265,-45.9715487039461,1.75828774785071,-49.9690746782023,1.68795623793668,-47.9703116910742
1.27969438591496,-45.9821963620558,1.39097215860321,-49.9806482196259,1.33533327225908,-47.9814222908408
0.941694912316356,-45.9903599756744,1.02358142643082,-49.9895217126896,0.982638169373589,-47.989940844182
0.603644566592374,-45.9960391037883,0.656135398469972,-49.9956946780308,0.629889982531173,-47.9958668909095
0.265561610856707,-45.9992334396003,0.288653924844246,-49.9991667821742,0.277107767850476,-47.9992001108872
-0.072535691015263,-45.9999428105463,-0.0788431424078946,-49.9999378375503,-0.0756894167115788,-47.9999403240483
-0.410629074373157,-45.9981671783048,-0.446335950405605,-49.9980078025052,-0.428482512389381,-47.998087490405
-0.748700274778283,-45.9939066387989,-0.813804646498134,-49.9933767813031,-0.781252460638208,-47.993641710051
